N	K	TruePrice	CM	FST	COS	MCFT1	MCFT2	SET
512	1	0.0351182	-41.9455	0.0351263	0.0351182	0.0243684	0.0350792	1
512	1	0.0351182	-41.9455	0.0351263	0.0351182	0.0242366	0.0349167	1
512	2	0.195762	-5.6018	0.195826	0.195762	0.18558	0.194909	1
512	3	0.477935	-1.11386	0.478062	0.477935	0.46868	0.477434	1
512	4	0.858846	0.259538	0.859002	0.858845	0.852596	0.858068	1
512	5	1.31904	1.04778	1.31917	1.31904	1.31491	1.31909	1
512	6	1.84351	1.7047	1.84365	1.84351	1.84174	1.84314	1
512	7	2.42079	2.34325	2.42108	2.42079	2.42051	2.41693	1
512	8	3.04201	2.99566	3.04218	3.042	3.03969	3.03778	1
512	9	3.7002	3.67108	3.70038	3.70019	3.69841	3.69567	1
512	10	4.38984	4.37062	4.39023	4.38983	4.39357	4.38974	1
512	11	5.10648	5.09349	5.10681	5.10646	5.11198	5.10642	1
512	12	5.84647	5.83743	5.84683	5.84645	5.85449	5.84855	1
512	13	6.60682	6.60038	6.60724	6.60679	6.6155	6.60919	1
512	14	7.38502	7.38032	7.38518	7.38498	7.39796	7.3882	1
512	15	8.17898	8.17542	8.17939	8.17893	8.19261	8.18241	1
512	16	8.98692	8.9842	8.98738	8.98686	9.00031	8.98767	1
512	17	9.80732	9.80523	9.80778	9.80724	9.82243	9.80842	1
512	18	10.6389	10.6373	10.6393	10.6388	10.656	10.6319	1
512	19	11.4805	11.4792	11.4809	11.4803	11.4986	11.4732	1
512	20	12.3311	12.3301	12.3314	12.3309	12.3501	12.3316	1
512	21	13.1899	13.1891	13.1903	13.1897	13.218	13.1904	1
512	22	14.0562	14.0556	14.0566	14.056	14.0855	14.0591	1
512	23	14.9292	14.9287	14.9295	14.929	14.9615	14.9318	1
512	24	15.8085	15.8079	15.8089	15.8082	15.8413	15.8106	1
512	25	16.6934	16.6931	16.6938	16.693	16.7238	16.694	1
512	26	17.5835	17.5832	17.5837	17.5831	17.6202	17.5864	1
512	27	18.4785	18.4782	18.4789	18.478	18.492	18.4687	1
512	28	19.3778	19.3775	19.3783	19.3772	19.4067	19.3718	1
512	29	20.2813	20.2811	20.2816	20.2806	20.2952	20.2796	1
512	30	21.1885	21.1881	21.1887	21.1877	21.2263	21.1907	1
512	31	22.0992	22.099	22.0994	22.0984	22.1343	22.094	1
512	32	23.0132	23.0131	23.0134	23.0122	23.0491	23.0125	1
512	33	23.9302	23.9301	23.9305	23.9292	23.9617	23.9126	1
512	34	24.8501	24.8498	24.8504	24.8489	24.8728	24.8353	1
512	35	25.7726	25.7724	25.7729	25.7713	25.7933	25.7556	1
512	36	26.6975	26.6974	26.6978	26.6961	26.7502	26.7056	1
512	37	27.6248	27.6248	27.625	27.6232	27.7444	27.6321	1
512	38	28.5543	28.5542	28.5544	28.5525	28.7006	28.565	1
512	39	29.4858	29.4857	29.486	29.4838	29.698	29.4981	1
512	40	30.4192	30.4191	30.4195	30.4171	30.6319	30.4137	1
512	41	31.3544	31.3543	31.3548	31.3521	31.6383	31.3542	1
512	42	32.2913	32.2912	32.2916	32.2888	32.5844	32.2862	1
512	43	33.2297	33.2297	33.23	33.227	33.6068	33.236	1
512	44	34.1697	34.1697	34.1699	34.1668	34.5448	34.1659	1
512	45	35.1112	35.111	35.1115	35.108	35.5274	35.103	1
512	46	36.0539	36.0537	36.0543	36.0505	36.4918	36.0395	1
512	47	36.998	36.9978	36.9982	36.9943	37.5086	37.0106	1
512	48	37.9432	37.9431	37.9434	37.9392	38.4367	37.9388	1
512	49	38.8896	38.8896	38.8899	38.8853	39.4056	38.8728	1
512	50	39.8371	39.837	39.8374	39.8325	40.3955	39.8259	1
1024	1	0.0351182	0.0351219	0.035123	0.0351182	0.0243684	0.0350792	1
1024	1	0.0351182	0.0351219	0.035123	0.0351182	0.0242366	0.0349167	1
1024	2	0.195762	0.195798	0.195777	0.195762	0.18558	0.194909	1
1024	3	0.477935	0.477972	0.477966	0.477935	0.46868	0.477434	1
1024	4	0.858846	0.858935	0.858858	0.858845	0.852596	0.858068	1
1024	5	1.31904	1.31914	1.31908	1.31904	1.31491	1.31909	1
1024	6	1.84351	1.84366	1.84358	1.84351	1.84174	1.84314	1
1024	7	2.42079	2.42092	2.42085	2.42079	2.42051	2.41693	1
1024	8	3.04201	3.04206	3.04208	3.042	3.03969	3.03778	1
1024	9	3.7002	3.70033	3.70028	3.70019	3.69841	3.69567	1
1024	10	4.38984	4.38984	4.38994	4.38983	4.39357	4.38974	1
1024	11	5.10648	5.10661	5.1065	5.10646	5.11198	5.10642	1
1024	12	5.84647	5.84666	5.84652	5.84645	5.85449	5.84855	1
1024	13	6.60682	6.60705	6.60692	6.60679	6.6155	6.60919	1
1024	14	7.38502	7.38526	7.38513	7.38498	7.39796	7.3882	1
1024	15	8.17898	8.17915	8.17906	8.17893	8.19261	8.18241	1
1024	16	8.98692	8.98708	8.98704	8.98686	9.00031	8.98767	1
1024	17	9.80732	9.8075	9.80743	9.80724	9.82243	9.80842	1
1024	18	10.6389	10.6391	10.639	10.6388	10.656	10.6319	1
1024	19	11.4805	11.4807	11.4806	11.4803	11.4986	11.4732	1
1024	20	12.3311	12.3313	12.3312	12.3309	12.3501	12.3316	1
1024	21	13.1899	13.1902	13.19	13.1897	13.218	13.1904	1
1024	22	14.0562	14.0565	14.0563	14.056	14.0855	14.0591	1
1024	23	14.9292	14.9295	14.9294	14.929	14.9615	14.9318	1
1024	24	15.8085	15.8085	15.8086	15.8082	15.8413	15.8106	1
1024	25	16.6934	16.6936	16.6934	16.693	16.7238	16.694	1
1024	26	17.5835	17.5837	17.5837	17.5831	17.6202	17.5864	1
1024	27	18.4785	18.4787	18.4786	18.478	18.492	18.4687	1
1024	28	19.3778	19.378	19.3779	19.3772	19.4067	19.3718	1
1024	29	20.2813	20.2815	20.2813	20.2806	20.2952	20.2796	1
1024	30	21.1885	21.1885	21.1886	21.1877	21.2263	21.1907	1
1024	31	22.0992	22.0994	22.0993	22.0984	22.1343	22.094	1
1024	32	23.0132	23.0134	23.0133	23.0122	23.0491	23.0125	1
1024	33	23.9302	23.9304	23.9303	23.9292	23.9617	23.9126	1
1024	34	24.8501	24.8501	24.8501	24.8489	24.8728	24.8353	1
1024	35	25.7726	25.7727	25.7726	25.7713	25.7933	25.7556	1
1024	36	26.6975	26.6977	26.6976	26.6961	26.7502	26.7056	1
1024	37	27.6248	27.625	27.6249	27.6232	27.7444	27.6321	1
1024	38	28.5543	28.5545	28.5544	28.5525	28.7006	28.565	1
1024	39	29.4858	29.486	29.4859	29.4838	29.698	29.4981	1
1024	40	30.4192	30.4194	30.4192	30.4171	30.6319	30.4137	1
1024	41	31.3544	31.3546	31.3544	31.3521	31.6383	31.3542	1
1024	42	32.2913	32.2915	32.2913	32.2888	32.5844	32.2862	1
