N	COSextended	CM	FST	COS	MCFT1	MCFT2	SET
512	42050	0.417	19	12	13100	9150	1
1024	42050	0.828	39	25	13100	9150	1
2048	42050	1.727	79	49	13100	9150	1
4096	42050	3.46	160	98	13100	9150	1
8192	42050	7.014	330	197	13100	9150	1
512	66300	0.391	19	12	12200	8700	2
1024	66300	0.782	38	23	12200	8700	2
2048	66300	1.635	78	47	12200	8700	2
4096	66300	3.35	158	93	12200	8700	2
8192	66300	6.873	327	186	12200	8700	2
512	68450	0.422	20	12	12550	8800	3
1024	68450	0.799	39	24	12550	8800	3
2048	68450	1.702	80	49	12550	8800	3
4096	68450	3.38	159	95	12550	8800	3
8192	68450	6.831	332	191	12550	8800	3
