N	K	TruePrice	CM	FST	COS	SET
512	80	23.6585	23.6564	23.6747	23.6389	1
512	80.8	23.018	23.0158	23.0359	23.0747	1
512	81.6	22.3819	22.3797	22.4009	22.4639	1
512	82.4	21.7503	21.7481	21.7659	21.7842	1
512	83.2	21.1234	21.1212	21.1413	21.0788	1
512	84	20.5013	20.4991	20.5207	20.416	1
512	84.8	19.8843	19.8821	19.9002	19.8306	1
512	85.6	19.2724	19.2702	19.2899	19.2956	1
512	86.4	18.6658	18.6636	18.6856	18.7477	1
512	87.2	18.0648	18.0626	18.0813	18.1397	1
512	88	17.4695	17.4672	17.4857	17.4778	1
512	88.8	16.88	16.8778	16.9002	16.8146	1
512	89.6	16.2967	16.2945	16.3146	16.207	1
512	90.4	15.7196	15.7174	15.7335	15.6733	1
512	91.2	15.1491	15.1469	15.1692	15.181	1
512	92	14.5854	14.5832	14.605	14.6729	1
512	92.8	14.0287	14.0265	14.0407	14.1095	1
512	93.6	13.4793	13.4771	13.4978	13.4961	1
512	94.4	12.9374	12.9352	12.9588	12.878	1
512	95.2	12.4034	12.4012	12.4198	12.3078	1
512	96	11.8776	11.8754	11.8919	11.81	1
512	96.8	11.3603	11.3581	11.382	11.3659	1
512	97.6	10.8518	10.8496	10.872	10.9277	1
512	98.4	10.3527	10.3505	10.362	10.4505	1
512	99.2	9.86313	9.86095	9.8814	9.92112	1
512	100	9.38375	9.38149	9.40718	9.36524	1
512	100.8	8.915	8.91256	8.93297	8.83074	1
512	101.6	8.45744	8.4549	8.4653	8.35801	1
512	102.4	8.0117	8.00935	8.03422	7.95648	1
512	103.2	7.57848	7.57667	7.60315	7.60043	1
512	104	7.15858	7.15722	7.17207	7.24557	1
512	104.8	6.75294	6.75118	6.76198	6.85551	1
512	105.6	6.3627	6.35891	6.38715	6.42279	1
512	106.4	5.98926	5.98318	6.01233	5.97302	1
512	107.2	5.63448	5.62867	5.6375	5.55087	1
512	108	5.30108	5.30011	5.31105	5.19648	1
512	108.8	4.99445	4.99995	5.03663	4.9252	1
512	109.6	4.72358	4.7264	4.7622	4.72091	1
512	110.4	4.47879	4.4772	4.48778	4.5455	1
512	111.2	4.25399	4.25001	4.25409	4.35859	1
512	112	4.04604	4.04192	4.06549	4.13705	1
512	112.8	3.85275	3.84983	3.8769	3.88485	1
512	113.6	3.67243	3.67064	3.6883	3.62902	1
512	114.4	3.50375	3.50221	3.51438	3.40478	1
512	115.2	3.34559	3.34385	3.36798	3.23754	1
512	116	3.197	3.19494	3.22157	3.13054	1
512	116.8	3.05716	3.0549	3.07517	3.06353	1
512	117.6	2.92537	2.92306	2.93204	3.00234	1
512	118.4	2.80099	2.79876	2.81883	2.91445	1
512	119.2	2.68346	2.68135	2.70562	2.78321	1
